"Row","Column","Correlation"
"Total_Coding_Sequences","Genome_Size",0.993489949495558
"n_genes_called","Genome_Size",0.993457784713094
"n_genes_mapped","Genome_Size",0.993455369852568
"Genome_Size","Total_Coding_Sequences",0.993489949495558
"n_genes_called","Total_Coding_Sequences",0.999874232463807
"n_genes_mapped","Total_Coding_Sequences",0.998807577704118
"Genome_Size","n_genes_called",0.993457784713094
"Total_Coding_Sequences","n_genes_called",0.999874232463807
"n_genes_mapped","n_genes_called",0.998943945843726
"Genome_Size","n_genes_mapped",0.993455369852568
"Total_Coding_Sequences","n_genes_mapped",0.998807577704118
"n_genes_called","n_genes_mapped",0.998943945843726
"X23S","X16S",0.992295774911349
"X16S","X23S",0.992295774911349
